Train_No,Train_Name,distance,Source_Station_Name,day_of_departure,Destination_Station_Name,day_of_arrival,departure_time,arrival_time
52587,KGN - DJ PAS,2643,KURSEONG,Saturdayd,DARJEELING,Wednesday,23:14:50,5:08:15
52588,DJ - KGN PAS,882,DARJEELING,Mondayd,KURSEONG,Friday,18:52:38,19:52:02
52591,DJ - GHUM -,720,DARJEELING,Saturdayd,DARJEELING,Saturday,23:10:09,10:33:57
52592,DJ - GHUM -,1249,DARJEELING,Mondayd,DARJEELING,Thursday,23:14:29,17:21:34
52593,DJ - GHUM -,1583,DARJEELING,Mondayd,DARJEELING,Wednesday,12:16:36,12:36:11
52594,DJ - GHUM -,2186,DARJEELING,Thursdayd,DARJEELING,Monday,21:33:42,14:11:21
52595,DJ-GHUM-DJ J,352,DARJEELING,Thursdayd,DARJEELING,Sunday,16:37:15,17:45:54
52596,DJ-GHUM-DJ J,680,DARJEELING,Saturdayd,DARJEELING,Thursday,18:47:31,7:49:09
52597,DJ - GHUM -,2206,DARJEELING,Saturdayd,DARJEELING,Sunday,21:06:58,16:24:24
52598,DJ-GHUM-DJ J,2925,DARJEELING,Mondayd,DARJEELING,Tuesday,5:05:04,19:58:23
52599,DJ - GHUM -,1779,DARJEELING,Fridayd,DARJEELING,Saturday,14:38:32,22:57:41
52911,RUJ-ADIJ FAS,2200,RANUJ,Tuesdayd,AHMEDABAD JN.,Sunday,2:46:24,9:31:52
52912,ADIJ-RUJ FAS,362,AHMEDABAD JN.,Sundayd,RANUJ,Saturday,18:43:34,23:07:18
52913,RUJ - ADIJ F,142,RANUJ,Fridayd,AHMEDABAD JN.,Friday,15:21:21,6:43:34
52914,ADIJ-RUJ FAS,380,AHMEDABAD JN.,Mondayd,RANUJ,Friday,11:37:20,5:22:27
52929,VRLF - DASF,242,VERAVAL MG,Thursdayd,DHASA JN (MG),Sunday,2:45:01,5:32:57
52930,DASF - VRLF,2057,DHASA JN (MG),Sundayd,VERAVAL MG,Monday,9:15:48,18:53:19
52931,JLR - DASF,1222,JETALSAR JN (MG),Thursdayd,DHASA JN (MG),Sunday,0:24:15,22:20:43
52932,DASF - JLR,2924,DHASA JN (MG),Wednesdayd,JETALSAR JN (MG),Saturday,8:17:53,5:49:47
52933,VRLF-DASF MG,1801,VERAVAL MG,Thursdayd,DHASA JN (MG),Wednesday,1:39:37,7:25:07
52934,BTDF - GG  M,2233,BOTAD JN (MG),Tuesdayd,GANDHIGRAM,Monday,18:12:52,3:07:36
52935,GG - BTDF  M,1644,GANDHIGRAM,Sundayd,BOTAD JN (MG),Monday,17:01:23,3:53:07
52938,BTDF - ADI M,430,BOTAD JN (MG),Sundayd,AHMEDABAD JN.,Monday,18:43:31,20:19:58
52939,ADI - BTDF,339,AHMEDABAD JN.,Wednesdayd,BOTAD JN (MG),Friday,10:53:52,0:15:57
52940,BTDF - GG MG,786,BOTAD JN (MG),Fridayd,GANDHIGRAM,Sunday,23:50:10,10:38:58
52941,GG - BTDF  M,105,GANDHIGRAM,Saturdayd,BOTAD JN (MG),Friday,18:38:17,1:56:09
52942,BTDF - GG MG,1015,BOTAD JN (MG),Saturdayd,GANDHIGRAM,Thursday,17:28:06,7:55:07
52943,GG - BTDF  M,1778,GANDHIGRAM,Tuesdayd,BOTAD JN (MG),Monday,3:22:33,4:33:13
52944,BTDF - GG  M,2439,BOTAD JN (MG),Sundayd,GANDHIGRAM,Monday,20:34:06,4:22:48
52945,GG - BTDF  M,1175,GANDHIGRAM,Wednesdayd,BOTAD JN (MG),Monday,16:28:24,4:16:13
52946,DASF - VRLF,229,DHASA JN (MG),Saturdayd,VERAVAL MG,Monday,15:11:41,9:27:47
52947,JLRF - DASF,88,JETALSAR JN (MG),Mondayd,DHASA JN (MG),Wednesday,15:22:53,18:36:47
52948,DASF - JLRF,488,DHASA JN (MG),Sundayd,JETALSAR JN (MG),Wednesday,17:18:05,18:30:48
52949,VRLF - DVA M,1062,VERAVAL MG,Wednesdayd,DELVADA,Saturday,0:15:48,1:31:12
52950,DVA - VRLF M,2974,DELVADA,Fridayd,VERAVAL MG,Thursday,16:26:17,20:09:18
52951,DVA-JND  MG,664,DELVADA,Sundayd,JUNAGADH JN,Tuesday,4:34:09,10:31:52
52952,JND-DVA MG P,99,JUNAGADH JN,Wednesdayd,DELVADA,Friday,14:20:08,20:22:20
52953,KODR - VRLF,624,KODINAR,Mondayd,VERAVAL MG,Sunday,5:38:22,7:27:30
52954,VRLF - KODR,2933,VERAVAL MG,Thursdayd,KODINAR,Saturday,7:37:50,3:06:05
52955,KJV - JND MG,86,KHIJADIYA JN,Fridayd,JUNAGADH JN,Thursday,4:42:28,5:10:34
52956,JND - KJV MG,513,JUNAGADH JN,Fridayd,KHIJADIYA JN,Monday,4:35:12,22:20:52
52963,DADN SWD MG,805,MHOW,Sundayd,SANAWAD,Friday,18:58:45,5:04:03
52964,SWD DADN MG,907,SANAWAD,Sundayd,MHOW,Monday,2:35:53,19:04:12
52973,DADN SWD MG,1801,MHOW,Sundayd,SANAWAD,Thursday,1:49:14,22:06:33
52974,SWD-DADN MG,2602,SANAWAD,Saturdayd,MHOW,Wednesday,23:02:59,5:12:58
52975,DADN SWD MG,2336,MHOW,Fridayd,SANAWAD,Sunday,16:53:52,12:53:52
52976,SWD-DADN MG,2731,SANAWAD,Thursdayd,MHOW,Sunday,16:32:07,5:38:17
52987,DADN SWD MG,2734,MHOW,Saturdayd,SANAWAD,Tuesday,19:07:51,2:50:23
52988,SWD -DADN MG,496,SANAWAD,Tuesdayd,MHOW,Saturday,7:44:29,2:46:31
53001,HWH - AZ PAS,2589,HOWRAH JN.,Tuesdayd,AZIMGANJ JN.,Sunday,18:42:49,6:18:45
53002,AZ-HWH PASSE,1007,AZIMGANJ JN.,Saturdayd,HOWRAH JN.,Friday,8:04:39,20:02:33
53005,KWAE-AZ PASS,142,KATWA JN.,Wednesdayd,AZIMGANJ JN.,Wednesday,11:45:01,9:20:37
53006,AZ-KWAE PASS,1931,AZIMGANJ JN.,Mondayd,KATWA JN.,Sunday,7:18:41,5:08:06
53007,KWAE - RPH P,1499,KATWA JN.,Tuesdayd,RAMPUR HAT,Monday,2:07:04,13:03:00
53008,RPH - KWAE P,198,RAMPUR HAT,Wednesdayd,KATWA JN.,Saturday,10:24:41,11:48:13
53009,KWAE - AZ PA,1440,KATWA JN.,Wednesdayd,AZIMGANJ JN.,Wednesday,8:19:04,15:58:28
53010,AZ-KWAE  PAS,1003,AZIMGANJ JN.,Wednesdayd,KATWA JN.,Tuesday,3:12:39,20:09:04
53011,KWAE - AZ  P,2652,KATWA JN.,Fridayd,AZIMGANJ JN.,Monday,14:55:27,4:07:06
53012,AZ- KWAE  PA,527,AZIMGANJ JN.,Mondayd,KATWA JN.,Wednesday,2:27:19,13:42:40
53013,KWAE-AZ PASS,2609,KATWA JN.,Sundayd,AZIMGANJ JN.,Sunday,15:49:29,9:51:18
53014,AZ - KWAE  P,1370,AZIMGANJ JN.,Fridayd,KATWA JN.,Thursday,11:46:51,1:23:24
53015,KWAE - AZ  P,2912,KATWA JN.,Tuesdayd,AZIMGANJ JN.,Friday,9:10:39,3:22:32
53016,AZ - KWAE PA,2880,AZIMGANJ JN.,Thursdayd,KATWA JN.,Wednesday,21:58:58,1:02:27
53017,KWAE - AZ  P,1908,KATWA JN.,Sundayd,AZIMGANJ JN.,Sunday,5:37:50,12:33:19
53018,AZ - KWAE  P,2813,AZIMGANJ JN.,Wednesdayd,KATWA JN.,Wednesday,9:49:18,22:39:05
53019,KWAE-AZ PASS,1144,KATWA JN.,Fridayd,AZIMGANJ JN.,Sunday,20:02:32,22:13:56
53020,AZ - KWAE PA,2281,AZIMGANJ JN.,Thursdayd,KATWA JN.,Friday,18:08:13,0:53:33
53021,AZ-SBG PASSE,2965,AZIMGANJ JN.,Tuesdayd,SAHIBGANJ,Sunday,15:12:05,22:19:03
53022,SBG-AZ PASSE,1282,SAHIBGANJ,Sundayd,AZIMGANJ JN.,Tuesday,2:10:37,5:29:28
53023,AZ-RPH PASSE,1214,AZIMGANJ JN.,Saturdayd,RAMPUR HAT,Monday,14:47:49,13:45:15
53024,RPH - AZ  PA,2249,RAMPUR HAT,Wednesdayd,AZIMGANJ JN.,Thursday,13:07:46,8:18:27
53025,AZ - RPH  PA,2794,AZIMGANJ JN.,Saturdayd,RAMPUR HAT,Thursday,15:22:20,23:17:54
53026,RPH - AZ PAS,664,RAMPUR HAT,Sundayd,AZIMGANJ JN.,Thursday,5:34:02,23:18:56
53027,AZ - MLDT PA,916,AZIMGANJ JN.,Wednesdayd,MALDA TOWN,Tuesday,14:54:16,17:01:13
53028,MLDT -AZ PAS,1362,MALDA TOWN,Fridayd,AZIMGANJ JN.,Friday,19:59:53,11:21:22
53029,AZ-BGP PASSE,370,AZIMGANJ JN.,Wednesdayd,BHAGALPUR,Sunday,2:57:40,20:16:08
53030,BGP-AZ PASSE,2945,BHAGALPUR,Sundayd,AZIMGANJ JN.,Thursday,19:22:28,17:32:00
53031,AZ -RPH  PAS,1971,AZIMGANJ JN.,Tuesdayd,RAMPUR HAT,Thursday,2:31:40,3:56:05
53034,RPH - AZ  PA,2639,RAMPUR HAT,Sundayd,AZIMGANJ JN.,Tuesday,21:08:04,15:39:18
53035,AZ-BHW PASSE,1363,AZIMGANJ JN.,Thursdayd,BARHARWA JN.,Friday,23:20:15,13:54:43
53036,BHW-AZ PASSE,900,BARHARWA JN.,Saturdayd,AZIMGANJ JN.,Wednesday,15:17:25,19:53:20
53037,SBG-BGP PASS,163,SAHIBGANJ,Mondayd,BHAGALPUR,Thursday,6:00:41,22:46:38
53038,BGP-SBG PASS,2128,BHAGALPUR,Sundayd,SAHIBGANJ,Friday,6:52:57,21:47:32
53041,HWH- JYG PAS,1999,HOWRAH JN.,Sundayd,JAYNAGAR,Friday,3:03:52,5:19:40
53042,JYG-HWH PASS,455,JAYNAGAR,Tuesdayd,HOWRAH JN.,Friday,11:41:41,16:30:15
53043,HWH-RGD PASS,271,HOWRAH JN.,Tuesdayd,RAJGIR,Sunday,16:44:36,23:36:16
53044,RGD-HWH PASS,2092,RAJGIR,Tuesdayd,HOWRAH JN.,Monday,20:50:05,14:55:31
53045,MAYURAKSHI F,789,HOWRAH JN.,Saturdayd,RAMPUR HAT,Sunday,19:00:55,4:33:32
53046,MAYURAKSHI F,508,RAMPUR HAT,Wednesdayd,HOWRAH JN.,Wednesday,21:21:17,21:18:19
53047,VISWABHARARI,611,HOWRAH JN.,Mondayd,RAMPUR HAT,Tuesday,22:27:43,2:12:34
53048,VISWABHARATI,1620,RAMPUR HAT,Thursdayd,HOWRAH JN.,Tuesday,22:33:12,6:19:23
53049,HWH-MKA PASS,1707,HOWRAH JN.,Saturdayd,MOKAMA JN.,Wednesday,19:23:01,0:55:14
53050,MKA - HWH PA,248,MOKAMA JN.,Fridayd,HOWRAH JN.,Sunday,8:28:54,13:24:14
53061,BWN-RANCHI P,1693,BARDDHAMAN JN.,Thursdayd,HATIA,Monday,1:28:32,11:40:45
53062,RNC-BWN PASS,2220,HATIA,Wednesdayd,BARDDHAMAN JN.,Monday,23:16:02,21:54:40
53063,BWN - BHW PA,2471,BARDDHAMAN JN.,Wednesdayd,BARHARWA JN.,Wednesday,19:46:56,4:37:05
53064,BHW - BWN PA,371,BARHARWA JN.,Wednesdayd,BARDDHAMAN JN.,Monday,3:24:07,22:39:25
53068,RPH-BWN PASS,2861,RAMPUR HAT,Saturdayd,BARDDHAMAN JN.,Thursday,8:24:07,3:40:33
53069,BWN-RPH PASS,1968,BARDDHAMAN JN.,Saturdayd,RAMPUR HAT,Wednesday,23:41:09,22:53:49
53073,RPH-SBG PASS,2216,RAMPUR HAT,Wednesdayd,SAHIBGANJ,Wednesday,8:08:50,13:36:18
53074,SBG-RPH PASS,860,SAHIBGANJ,Wednesdayd,RAMPUR HAT,Sunday,8:03:40,12:01:29
53075,RPH-BHW PASS,800,RAMPUR HAT,Wednesdayd,BARHARWA JN.,Tuesday,6:56:26,7:24:01
53076,BHW-RPH PASS,2329,BARHARWA JN.,Saturdayd,RAMPUR HAT,Tuesday,1:24:36,20:19:14
53081,RPH-DUMKAI P,391,RAMPUR HAT,Mondayd,DUMKA,Saturday,21:26:13,8:50:36
53131,SDAH- MFP PA,682,SEALDAH,Tuesdayd,MUZAFFARPUR JN.,Friday,11:16:56,16:29:35
53132,MFP-SDAH PAS,97,MUZAFFARPUR JN.,Fridayd,SEALDAH,Saturday,4:50:14,8:47:27
53137,RPH BHW PASS,1406,RAMPUR HAT,Mondayd,BARHARWA JN.,Sunday,14:30:01,4:54:40
53138,BHW-RPH PASS,2536,BARHARWA JN.,Sundayd,RAMPUR HAT,Friday,17:08:45,19:05:10
53139,KOAA JSME PG,889,KOLKATA,Sundayd,JASIDIH JN.,Friday,15:10:13,16:13:50
53140,JASIDIH KOLK,542,JASIDIH JN.,Thursdayd,KOLKATA,Thursday,8:35:45,15:50:10
53171,SDAH-LGL PAS,2593,SEALDAH,Tuesdayd,LALGOLA,Thursday,7:36:15,11:53:31
53172,LGL SDAH PGR,1266,LALGOLA,Sundayd,SEALDAH,Wednesday,21:24:43,19:00:48
53175,SDAH-LGL PGR,1985,SEALDAH,Fridayd,LALGOLA,Wednesday,13:15:34,14:17:31
53176,LGL-SDAH PAS,96,LALGOLA,Saturdayd,SEALDAH,Sunday,12:38:51,11:58:27
53177,SDAH-LGL PGR,1020,SEALDAH,Fridayd,LALGOLA,Friday,23:37:33,13:24:20
53178,LGL-SDAH PGR,1638,LALGOLA,Mondayd,SEALDAH,Saturday,17:02:23,12:01:16
53179,CP - LGL PAS,2175,KOLKATA,Sundayd,LALGOLA,Wednesday,20:57:34,12:34:59
53180,LGL-KOAA PAS,1171,LALGOLA,Sundayd,KOLKATA,Tuesday,5:34:29,0:22:54
53181,LGL PGR,2907,SEALDAH,Tuesdayd,LALGOLA,Saturday,13:15:31,19:00:17
53186,LGL-SDAH PGR,2267,LALGOLA,Thursdayd,SEALDAH,Wednesday,3:00:47,13:09:42
53207,IPR- FUT PAS,194,ISLAMPUR,Tuesdayd,FATUHA,Monday,11:34:46,9:57:03
53208,FUT-IPR PASS,1521,FATUHA,Mondayd,ISLAMPUR,Saturday,14:39:06,15:32:48
53209,RGD-FUT PASS,2290,RAJGIR,Saturdayd,FATUHA,Saturday,8:47:29,7:10:26
53210,FUT-RGD PASS,1404,FATUHA,Fridayd,RAJGIR,Monday,12:06:51,20:42:13
53211,PNBE - SSM P,2880,PATNA JN.,Mondayd,SASARAM,Tuesday,12:39:01,7:09:17
53212,SSM - PNBE P,1670,SASARAM,Mondayd,PATNA JN.,Friday,15:20:31,0:50:57
53213,PNBE-GAYA PA,2776,PATNA JN.,Wednesdayd,GAYA JN.,Saturday,15:25:29,12:07:30
53214,GAYA-PNBE PA,2416,GAYA JN.,Tuesdayd,PATNA JN.,Saturday,15:01:33,6:29:17
53221,RGD-BKP PASS,528,RAJGIR,Sundayd,BAKHTIYARPUR JN.,Saturday,11:29:48,15:08:06
53222,BKP-RGD PASS,770,BAKHTIYARPUR JN.,Wednesdayd,RAJGIR,Wednesday,16:33:49,13:57:56
53223,RGD-BKP PASS,1118,RAJGIR,Wednesdayd,BAKHTIYARPUR JN.,Saturday,20:56:03,18:07:50
53224,BKP-RGD PASS,1553,BAKHTIYARPUR JN.,Sundayd,RAJGIR,Saturday,15:49:27,17:43:11
53225,BKP-GAYA PAS,2828,BAKHTIYARPUR JN.,Fridayd,GAYA JN.,Monday,9:57:17,9:22:38
53226,BKP-GAYA PAS,630,GAYA JN.,Wednesdayd,BAKHTIYARPUR JN.,Tuesday,19:24:39,21:44:39
53229,RGD-DNR PASS,2333,RAJGIR,Wednesdayd,DANAPUR,Tuesday,0:50:15,4:25:57
53230,DNR-RGD PASS,1853,DANAPUR,Wednesdayd,RAJGIR,Thursday,7:02:12,18:02:15
53231,TIA-DNR PASS,1324,TILAIYA,Thursdayd,DANAPUR,Tuesday,11:51:16,14:20:05
53232,DNR-TIA PASS,1739,DANAPUR,Sundayd,TILAIYA,Tuesday,20:41:03,22:47:19
53323,SNDT-DHN PAS,2782,SINDRI TOWN,Fridayd,DHANBAD JN.,Saturday,5:19:21,17:17:07
53324,DHN-SNDT PAS,971,DHANBAD JN.,Wednesdayd,SINDRI TOWN,Monday,10:28:28,23:40:37
53327,SNDT-GMO PAS,2314,SINDRI TOWN,Fridayd,NSC BOSE J GOMO,Sunday,11:20:21,5:45:48
53328,GMO-SNDT PAS,2185,NSC BOSE J GOMO,Thursdayd,SINDRI TOWN,Sunday,16:58:15,13:19:07
53333,SNDT-DHN PAS,2357,SINDRI TOWN,Fridayd,DHANBAD JN.,Saturday,12:01:07,9:58:27
53334,DHN-SNDT PAS,778,DHANBAD JN.,Mondayd,SINDRI TOWN,Friday,22:48:22,3:14:44
53343,GMO-CPU PASS,1103,NSC BOSE J GOMO,Saturdayd,CHOPAN,Wednesday,23:18:31,5:27:56
53344,CPU-GMO PASS,1582,CHOPAN,Fridayd,NSC BOSE J GOMO,Thursday,20:10:20,21:57:59
53345,CPU-ALD PASS,2184,CHOPAN,Mondayd,ALLAHABAD JN.,Wednesday,15:17:10,10:39:35
53346,ALD-CPU PASS,2629,ALLAHABAD JN.,Mondayd,CHOPAN,Saturday,16:22:39,11:05:19
53347,GMO-BRWD PAS,300,NSC BOSE J GOMO,Thursdayd,BARWADIH JN,Thursday,3:13:58,20:21:08
53348,BRWD-GMO PAS,482,BARWADIH JN,Saturdayd,NSC BOSE J GOMO,Wednesday,13:15:53,9:59:59
53349,BRWD-DOS PAS,1894,BARWADIH JN,Tuesdayd,DEHRI-ON-SON,Saturday,14:01:53,23:41:06
53350,DOS-BRWD PAS,1621,DEHRI-ON-SON,Saturdayd,BARWADIH JN,Wednesday,16:02:49,10:26:31
53351,BRWD-CAR PAS,2260,BARWADIH JN,Wednesdayd,CHUNAR JN.,Monday,6:17:36,9:51:56
53352,CAR-BRWD PAS,1090,CHUNAR JN.,Saturdayd,BARWADIH JN,Monday,11:44:25,1:03:12
53357,BRKA-DOS PAS,173,BARKAKANA,Thursdayd,DEHRI-ON-SON,Thursday,12:08:40,22:29:55
53358,DOS-BRKA PAS,2121,DEHRI-ON-SON,Fridayd,BARKAKANA,Thursday,17:49:57,13:31:12
53363,GAYA-DOS PAS,1620,GAYA JN.,Sundayd,DEHRI-ON-SON,Friday,23:16:24,4:42:58
53364,DOS-GAYA PAS,644,DEHRI-ON-SON,Tuesdayd,GAYA JN.,Tuesday,15:33:41,16:46:54
53365,KWAR-KQR PAS,1806,KAWAR,Tuesdayd,KODERMA,Wednesday,10:29:02,19:37:18
53366,KQR-KWAR PAS,814,KODERMA,Mondayd,KAWAR,Monday,22:56:28,9:24:26
53369,KWAR-KQR PAS,464,KAWAR,Mondayd,KODERMA,Sunday,10:49:14,13:31:34
53370,KQR-KWAR PAS,2310,KODERMA,Wednesdayd,KAWAR,Tuesday,6:37:00,11:55:56
53371,KQR-HZBN-BRK,1837,KODERMA,Wednesdayd,BARKAKANA,Saturday,14:56:00,13:06:45
53372,BRKA-HZBN-KQ,381,BARKAKANA,Sundayd,KODERMA,Saturday,3:16:13,11:04:39
53373,KQR-HZBN-BRK,1721,KODERMA,Tuesdayd,BARKAKANA,Friday,10:40:56,2:22:35
53374,BRKA-HZBN-KQ,333,BARKAKANA,Saturdayd,KODERMA,Monday,19:34:05,8:10:49
53401,SBG-MLDT PAS,2413,SAHIBGANJ,Fridayd,MALDA TOWN,Wednesday,23:22:25,17:45:08
53402,MLDT-SBG PAS,2133,MALDA TOWN,Mondayd,SAHIBGANJ,Saturday,15:44:55,22:04:23
53403,RPH-GAYA PAS,415,RAMPUR HAT,Fridayd,GAYA JN.,Wednesday,14:12:14,23:24:05
53404,GAYA-JMP PAS,1635,GAYA JN.,Thursdayd,JAMALPUR JN.,Sunday,1:37:01,20:38:38
53405,RPH-SBG PASS,233,RAMPUR HAT,Sundayd,SAHIBGANJ,Monday,1:31:00,0:42:02
53406,SBG-RPH PASS,1161,SAHIBGANJ,Thursdayd,RAMPUR HAT,Saturday,22:54:28,9:20:45
53408,JMP-RPH PASS,1939,JAMALPUR JN.,Saturdayd,RAMPUR HAT,Thursday,22:51:48,6:28:09
53411,BHW-SBG PASS,363,BARHARWA JN.,Mondayd,SAHIBGANJ,Tuesday,23:07:32,2:20:21
53412,SBG-BHW PASS,2030,SAHIBGANJ,Thursdayd,BARHARWA JN.,Saturday,13:22:03,11:38:45
53415,SBG-JMP PASS,598,SAHIBGANJ,Sundayd,JAMALPUR JN.,Friday,15:50:36,15:27:52
53416,JMP-SBG PASS,712,JAMALPUR JN.,Thursdayd,SAHIBGANJ,Saturday,14:48:23,20:38:36
53417,BWN-MLDT PAS,2322,BARDDHAMAN JN.,Wednesdayd,MALDA TOWN,Tuesday,22:10:24,3:55:14
53418,MLDT-BWN PAS,610,MALDA TOWN,Fridayd,BARDDHAMAN JN.,Tuesday,0:40:53,14:29:32
53423,JMP-KEU PASS,2432,JAMALPUR JN.,Fridayd,KIUL JN.,Wednesday,5:15:20,14:51:30
53424,KIUL-JMP PGR,1395,KIUL JN.,Thursdayd,JAMALPUR JN.,Sunday,11:19:19,15:30:32
53431,SBG-JMP PGR,2850,SAHIBGANJ,Thursdayd,JAMALPUR JN.,Friday,14:01:41,10:53:08
53432,JMP-SBG PASS,1016,JAMALPUR JN.,Tuesdayd,SAHIBGANJ,Thursday,15:06:32,11:24:21
53433,AZ-BHW PASS,307,AZIMGANJ JN.,Tuesdayd,BARHARWA JN.,Wednesday,18:31:37,6:58:31
53434,BHW-AZ PASS,1915,BARHARWA JN.,Mondayd,AZIMGANJ JN.,Wednesday,9:54:08,6:36:11
53435,KWAE-AZ PASS,2310,KATWA JN.,Sundayd,AZIMGANJ JN.,Monday,19:09:31,22:00:41
53436,AZ-KWAE PASS,382,AZIMGANJ JN.,Tuesdayd,KATWA JN.,Wednesday,4:48:30,16:33:30
53441,HSDA - BGP P,598,HANSDIHA,Fridayd,BHAGALPUR,Wednesday,15:49:17,0:11:57
53442,BGP - HSDAPG,2062,BHAGALPUR,Friday,HANSDIHA,Monday,11:59:31,6:05:16
53443,MDLE - BGP P,1047,HANSDIHA,Saturday,BHAGALPUR,Tuesday,4:48:56,7:07:30
53444,BGP - MDLE P,1710,BHAGALPUR,Thursday,HANSDIHA,Friday,0:09:01,6:11:26
53445,HSDA - BGP P,1722,HANSDIHA,Sunday,BHAGALPUR,Friday,7:57:35,22:04:13
53446,BGP - HSDA P,2994,BHAGALPUR,Thursday,HANSDIHA,Sunday,19:44:45,7:26:30
53447,BAKA - BGP P,739,BANKA,Tuesday,BHAGALPUR,Saturday,7:21:19,5:23:46
53448,BGP - BAKA P,2323,BHAGALPUR,Wednesday,BANKA,Thursday,10:42:40,7:37:41
53449,BAKA - BGP P,264,BANKA,Thursday,BHAGALPUR,Saturday,15:21:18,5:49:49
53450,BGP - BAKA P,1513,BHAGALPUR,Sunday,BANKA,Tuesday,3:04:17,3:21:40
53451,DUMK-HSDA PA,1613,DUMKA,Monday,HANSDIHA,Wednesday,1:22:44,13:10:27
53452,HSDA-DUMK PA,1364,HANSDIHA,Wednesday,DUMKA,Saturday,18:05:58,16:39:58
53479,JMP-KIUL PAS,2364,JAMALPUR JN.,Sunday,KIUL JN.,Saturday,10:33:19,6:30:28
53480,KIUL-JMP PAS,2872,KIUL JN.,Thursday,JAMALPUR JN.,Sunday,13:56:42,5:11:49
53481,TPL-RJL PGR,1484,TINPAHAR JN.,Wednesday,RAJMAHAL,Thursday,23:24:32,6:58:59
53482,RJL-TPH PGR,1662,RAJMAHAL,Friday,TINPAHAR JN.,Saturday,22:14:25,10:15:38
53483,TPL-RJL PGR,2061,TINPAHAR JN.,Saturday,RAJMAHAL,Monday,4:58:39,3:44:02
53484,RJL-TPH PGR,2412,RAJMAHAL,Sunday,TINPAHAR JN.,Thursday,9:27:20,4:09:23
53485,TPL-RJL PGR,1187,TINPAHAR JN.,Friday,RAJMAHAL,Friday,14:13:21,4:37:08
53486,RJL-TPH PGR,2868,RAJMAHAL,Friday,TINPAHAR JN.,Saturday,20:34:38,5:43:53
53487,TPL-RJL PGR,1738,TINPAHAR JN.,Monday,RAJMAHAL,Tuesday,21:10:43,17:10:42
53488,RJL-TPH PGR,651,RAJMAHAL,Sunday,TINPAHAR JN.,Sunday,10:13:44,9:08:58
53489,TPL-RJL PGR,1755,TINPAHAR JN.,Thursday,RAJMAHAL,Tuesday,15:06:39,21:22:47
53490,RJL-TPH PGR,2134,RAJMAHAL,Thursday,TINPAHAR JN.,Tuesday,22:14:33,12:42:50
53491,TPL-RJL PGR,1647,TINPAHAR JN.,Friday,RAJMAHAL,Sunday,11:32:14,17:58:07
53492,RJL-TPH PGR,2786,RAJMAHAL,Tuesday,TINPAHAR JN.,Wednesday,6:51:49,17:33:15
53493,TPH - RJL,1417,TINPAHAR JN.,Sunday,RAJMAHAL,Wednesday,11:13:45,9:17:56
53494,RJL-TPH PASS,2971,RAJMAHAL,Wednesday,TINPAHAR JN.,Saturday,2:34:40,21:51:53
53495,TPH-RJL PASS,2121,TINPAHAR JN.,Sunday,RAJMAHAL,Wednesday,2:29:51,13:39:05
53496,RJL-TPH,772,RAJMAHAL,Monday,TINPAHAR JN.,Wednesday,21:42:17,7:19:38
53497,BGP-JMP PASS,2420,BHAGALPUR,Saturday,JAMALPUR JN.,Tuesday,19:51:20,14:50:03
53498,JMP-BGP PASS,151,JAMALPUR JN.,Sunday,BHAGALPUR,Saturday,23:28:19,10:51:08
53511,MDP-GRD PASS,832,MADHUPUR JN.,Thursday,GIRDIH,Monday,20:32:22,19:13:53
53512,GRD-MDP PASS,642,GIRDIH,Monday,MADHUPUR JN.,Tuesday,0:45:04,13:46:54
53513,MDP-GRD PASS,742,MADHUPUR JN.,Monday,GIRDIH,Saturday,4:46:11,14:48:14
53514,GRD-MDP PASS,2245,GIRDIH,Thursday,MADHUPUR JN.,Tuesday,21:49:42,19:25:55
53515,MDP-GRD PASS,534,MADHUPUR JN.,Wednesday,GIRDIH,Thursday,19:49:33,18:31:24
53516,GRD-MDP PASS,240,GIRDIH,Thursday,MADHUPUR JN.,Tuesday,14:42:05,0:00:04
53517,MDP-GRD PASS,2670,MADHUPUR JN.,Monday,GIRDIH,Monday,12:06:52,23:26:28
53518,GRD-MDP PASS,2634,GIRDIH,Thursday,MADHUPUR JN.,Saturday,2:02:40,3:26:24
53519,MDP - GRD PA,2595,MADHUPUR JN.,Monday,GIRDIH,Monday,17:59:23,4:30:58
53520,GRD - MDP PA,2376,GIRDIH,Tuesday,MADHUPUR JN.,Friday,13:06:14,10:15:58
53523,ASN-BRKA PAS,725,ASANSOL MAIN,Monday,BARKAKANA,Sunday,16:00:06,1:17:07
53524,DHN-ASN PASS,990,BARKAKANA,Sunday,ASANSOL MAIN,Tuesday,22:44:19,6:17:55
53525,BRKA-BSB PAS,879,BARKAKANA,Wednesday,VARANASI JN.,Thursday,3:48:14,4:39:47
53526,BSB-BRKA PAS,1567,VARANASI JN.,Friday,BARKAKANA,Friday,21:17:12,11:00:18
53551,JSME-DUMKA P,2210,DUMKA,Friday,JASIDIH JN.,Monday,5:46:10,15:12:05
53552,DUMKA- JSME,1202,JASIDIH JN.,Tuesday,DUMKA,Saturday,3:01:55,18:09:44
53553,JSME DUMKA P,1423,DUMKA,Tuesday,JASIDIH JN.,Wednesday,20:29:52,6:58:02
53554,DUMKA  JSME,1252,JASIDIH JN.,Thursday,DUMKA,Sunday,4:12:19,1:41:16
53555,JSME DMKA PA,2624,DUMKA,Friday,JASIDIH JN.,Tuesday,1:12:02,14:09:59
